state	stateno	order	sgenexp	stotrev	stltdebt	pcpinc	totpop	cpi	year	dratelag	dmajdgov	dmajrgov	rmajdgov	rmajrgov	nmajdgov	nmajrgov	othergov	_merge	ideology	religion	adopted	statutry	constnl	indstat	indconst	referend	sigstat	sigconst	sigindst	sigindc	sigref	singlsub	contrest	judicrev	adminrev	legisrev	postrest	init	sigs	south	sigsq	invsigs	cappun	adopt_cp	initideo	sigideo	noinideo	initrel	noinrel	deficit	debt	rpcpinc	drpcpinc	divgov	nbrs_cp1	nbrs_cp3	nbrs_cp2	nbrs_cp4	nbors	nbrs_cp	dur_cp	spline1	spline2	spline3	_t_cp0	_t_cp1	_t_cp2	_t_cp3	_t_cp4	_t_cp5	_t_cp6	_t_cp7	_t_cp8	_t_cp9	_t_cp10	source_count	source_count
"AL"	1								1970		1	0	0	0	0	0	0	2	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-23.100000381469727	0	33.900001525878906					0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0
"AL"	1	32				2876		2.4660000801086426	1971		1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-23.100000381469727	0	33.900001525878906			11.116326332092285		0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0
"AL"	1	32	1405	1360.800048828125	769.7000122070312	3087	3.496999979019165	2.3910000324249268	1972	15.100000381469727	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-23.100000381469727	0	33.900001525878906	0.03145904093980789	0.5478292107582092	11.568992614746094	0.040720853954553604	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"AL"	1	32	1502	1521.5	838.5	3333	3.5399999618530273	2.250999927520752	1973	14.100000381469727	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-23.100000381469727	0	33.900001525878906	-0.012982689775526524	0.558255672454834	11.759533882141113	0.01646999642252922	0	0	1	0	0	2	1	1	-0.8999999761581421	-0.800000011920929	-0.4000000059604645	0	1	0	0	0	0	0	0	0	0	0	0	4
"AL"	1	32	1605	1690.699951171875	847.7999877929688	3864	3.5810000896453857	2.0290000438690186	1974	13.199999809265137	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-23.100000381469727	0	33.900001525878906	-0.05339560657739639	0.5282242894172668	12.28848934173584	0.044980987906455994	0	0	1	0	1	4	2	2	-6.199999809265137	-6.400000095367432	-3.200000047683716	0	0	1	0	0	0	0	0	0	0	0	0	4
"AL"	1	32	1809	1847.5999755859375	873.2000122070312	4198	3.628000020980835	1.8589999675750732	1975	15	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-23.100000381469727	0	33.900001525878906	-0.02133774198591709	0.48269763588905334	12.23210334777832	-0.004588521085679531	0	0	1	0	3	4	4	3	-16.299999237060547	-20.600000381469727	-10.800000190734863	0	0	0	1	0	0	0	0	0	0	0	0	3
"AL"	1	32	2050	2089.60009765625	895.7999877929688	4635	3.678999900817871	1.7569999694824219	1976	16	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	-23.100000381469727	0	33.900001525878906	-0.01931712031364441	0.4369755983352661	12.764411926269531	0.0435173399746418	0	0	1	0	3	4	4	4	-30.599998474121094	-43.20000076293945	-25.600000381469727	0	0	0	0	1	0	0	0	0	0	0	0	3
"AL"	1	32	2395	2343.300048828125	979	5105	3.736999988555908	1.6490000486373901	1977	15.100000381469727	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1		0	0	-23.100000381469727	0	33.900001525878906	0.021586619317531586	0.40876826643943787	13.194584846496582	0.033700957894325256	0	0	1	0	3	4	4					0	0	0	0	0	0	0	0	0	0	0	0	5
"AL"	1	32	2594	2650	997.0999755859375	5622	3.7829999923706055	1.531999945640564	1978	14.199999809265137	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1		0	0	-23.100000381469727	0	33.900001525878906	-0.0215882807970047	0.3843870460987091	13.499849319458008	0.023135587573051453	0	0	1	0	3	4	4					0	0	0	0	0	0	0	0	0	0	0	0	6
"AL"	1	32	2917	2942.39990234375	999.9000244140625	6247	3.8320000171661377	1.3799999952316284	1979	13.300000190734863	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1		0	0	-23.100000381469727	0	33.900001525878906	-0.008707542903721333	0.34278368949890137	13.512319564819336	0.0009237321792170405	0	0	1	0	3	4	4					0	0	0	0	0	0	0	0	0	0	0	0	5
"AL"	1	32	3216	3292.5	1053.4000244140625	6976	3.865999937057495	1.215000033378601	1980	13.199999809265137	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1		0	0	-23.100000381469727	0	33.900001525878906	-0.02378731407225132	0.3275497555732727	13.285016059875488	-0.01682194508612156	0	0	1	0	3	4	4					0	0	0	0	0	0	0	0	0	0	0	0	4
"AL"	1	32	3579	3633.699951171875	1032.300048828125	7488	3.8940000534057617	1.0980000495910645	1981	13.199999809265137	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1		0	0	-23.100000381469727	0	33.900001525878906	-0.015283585526049137	0.2884325385093689	12.886872291564941	-0.029969384893774986	0	0	1	0	3	4	4					0	0	0	0	0	0	0	0	0	0	0	1	4
"AL"	1	32	3927	4550.89990234375	1255.9000244140625	8284	3.927999973297119	1.034999966621399	1982	11.899999618530273	1	0	0	0	0	0	0	3	-23.100000381469727	33.900001525878906		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1		0	0	-23.100000381469727	0	33.900001525878906	-0.15887443721294403	0.31981155276298523	13.438776969909668	0.04282689094543457	0	0	1	0	3	4	4					0	0	0	0	0	0	0	0	0	0	0	3	4
"AK"	2								1970		0	0	0	0	0	0	1	2			1956	0	0	1	0	1	0	0	10	0	10	1	1	0	1	0	1	1	10	0	100	0.931109607219696	0	0										1	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0
"AK"	2	49						2.4660000801086426	1971		0	0	0	0	0	0	1	3			1956	0	0	1	0	1	0	0	10	0	10	1	1	0	1	0	1	1	10	0	100	0.931109607219696	0	0										1	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0
"AK"	2	49	476					2.3910000324249268	1972	13.399999618530273	0	0	0	0	1	0	0	3			1956	0	0	1	0	1	0	0	10	0	10	1	1	0	1	0	1	1	10	0	100	0.931109607219696	0	0										1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
"AK"	2	49	575					2.250999927520752	1973	9.5	0	0	0	0	1	0	0	3			1956	0	0	1	0	1	0	0	10	0	10	1	1	0	1	0	1	1	10	0	100	0.931109607219696	0	0										1	0	0	0	0	0	0	1	-0.8999999761581421	-0.800000011920929	-0.4000000059604645	0	1	0	0	0	0	0	0	0	0	0	2	2
"AK"	2	49	623					2.0290000438690186	1974	10	0	1	0	0	0	0	0	3			1956	0	0	1	0	1	0	0	10	0	10	1	1	0	1	0	1	1	10	0	100	0.931109607219696	0	0										1	0	0	0	0	0	0	2	-6.199999809265137	-6.400000095367432	-3.200000047683716	0	0	1	0	0	0	0	0	0	0	0	2	3
"AK"	2	49	666					1.8589999675750732	1975	13.600000381469727	0	1	0	0	0	0	0	3			1956	0	0	1	0	1	0	0	10	0	10	1	1	0	1	0	1	1	10	0	100	0.931109607219696	0	0										1	0	0	0	0	0	0	3	-16.299999237060547	-20.600000381469727	-10.800000190734863	0	0	0	1	0	0	0	0	0	0	0	3	4
"AK"	2	49	798					1.7569999694824219	1976	12.199999809265137	0	1	0	0	0	0	0	3			1956	0	0	1	0	1	0	0	10	0	10	1	1	0	1	0	1	1	10	0	100	0.931109607219696	0	0										1	0	0	0	0	0	0	4	-30.599998474121094	-43.20000076293945	-25.600000381469727	0	0	0	0	1	0	0	0	0	0	0	3	4
