st	year	percentsmokers	tobaccolobby	healthorgslobby	production	govideolbrfh	yadatecensus	restcensus	wp_publiccensus	govbuildings	restaurants	outofpackage	neigovbuildings	neirestaurant	neioutofpackage	dvgovbuild	dvrest	dvoutpack	toblobbyratio	healthlobbyratio	ugovdem	ugovrep	psphealth	proddum	synar1	yacens_healthorgslobby	gbcens_healthorgslobby	restcens_healthorgslobby	rslsal	rslsalgbl	rslsalrestl	rslsalyal	profess	professgbl	professrl	professyal	policynum	pooleddv	poolednei	pooledcensus	pooledlocalrslsal	pooledlocalhealth	styr	pooledlocalprof	synar1ya	state
14	1975	25.8	0	2	0.01695	39.48	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.052	0.0	0.0	0.014497951	1.0	0.0	0.0	0.0	0.0	19.206	0.0	0.0	0.0	0.143	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	141975.0	0.0	0.0	"IN"
15	1975	22.6	0	0	0	50.53	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.009966778	0.09800664	0.0	0.0	0.008405366	0.0	0.0	0.0	0.0	0.0	25.608	0.0	0.0	0.0	0.266	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	151975.0	0.0	0.0	"IA"
16	1975	23.0	0	0	0	22.33	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.011363637	0.06818182	0.0	1.0	0.009647875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.169	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	161975.0	0.0	0.0	"KS"
17	1975	29.5	0	2	0.452024	61.29	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.010920437	0.054602183	1.0	0.0	0.020586506	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	171975.0	0.0	0.0	"KY"
18	1975	25.6	0	0	0	31.94	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0123893805	0.028318584	1.0	0.0	0.015748702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	181975.0	0.0	0.0	"LA"
19	1975	27.9	0	2	0	74.62	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.056	0.0	0.0	0.017194988	0.0	0.0	0.0	0.0	0.0	6.0818996	0.0	0.0	0.0	0.18	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	191975.0	0.0	0.0	"ME"
20	1975	25.0	0	0	0.021965	69.4	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01632653	0.10612245	1.0	0.0	0.032221697	1.0	0.0	0.0	0.0	0.0	40.0125	0.0	0.0	0.0	0.252	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	201975.0	0.0	0.0	"MD"
21	1975	27.9	0	2	0.00195	92.36	0.013486491	0.013486491	0.013486491	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.012567325	0.1005386	1.0	0.0	0.017958792	1.0	0.0	0.026972981	0.026972981	0.026972981	40.6527	0.54826224	0.54826224	0.54826224	0.386	0.0052057854	0.0052057854	0.0052057854	1	0.0	0.0	0.013486491	0.54826224	0.026972981	211975.0	0.0052057854	0.0	"MA"
22	1975	26.8	0	1	0	51.68	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01375	0.29375	0.0	0.0	0.022880595	0.0	0.0	0.0	0.0	0.0	60.819	0.0	0.0	0.0	0.463	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	221975.0	0.0	0.0	"MI"
23	1975	28.3	0	0	0	92.17	0.033401128	0.0	0.0	1	1	0	0.0	0.0	0.0	1.0	1.0	0.0	0.01846381	0.046528805	1.0	0.0	0.013240774	0.0	0.0	0.0	0.0	0.0	26.8884	0.0	0.0	0.8981029	0.211	0.0	0.0	0.007047638	1	1.0	0.0	0.0	0.0	0.0	231975.0	0.0	0.0	"MN"
