state	statenum	year	adopt	elect1	elect2	income1	fiscal	party	religion	neighbor	nbrpercn
"SC"	40	64	0	0	1	45.83	-0.198	1.0	32.2	0	0.0
"SD"	41	64	0	1	0	57.07	-0.042	1.0	9.9	0	0.0
"TN"	42	64	0	0	1	68.48	-0.224	1.0	31.9	0	0.0
"TX"	43	64	0	1	0	80.97	-0.144	1.0	24.4	0	0.0
"UT"	44	64	0	1	0	62.14	-0.234	1.0	75.9	0	0.0
"VA"	46	64	0	0	1	60.3	-0.21	1.0	16.8	0	0.0
"VT"	45	64	0	1	0	60.47	-0.161	0.0	1.0	0	0.0
"WA"	47	64	0	1	0	74.26	-0.295	1.0	7.0	0	0.0
"WI"	49	64	0	1	0	68.78	-0.39	0.0	11.8	0	0.0
"WV"	48	64	0	1	0	53.55	-0.149	1.0	6.8	0	0.0
"WY"	50	64	0	0	1	72.27	-0.129	1.0	15.3	0	0.0
"AL"	1	65	0	0	1	49.69	-0.256	1.0	34.0	0	0.0
"AR"	4	65	0	0	0	47.22	-0.158	1.0	29.6	0	0.0
"AZ"	3	65	0	0	0	65.2	-0.247	1.0	14.5	0	0.0
"CA"	5	65	0	0	1	89.2	-0.32	1.0	6.2	0	0.0
"CO"	6	65	0	0	1	74.35	-0.294	0.0	8.9	0	0.0
"CT"	7	65	0	0	1	93.27	-0.16	0.0	1.3	0	0.0
"DE"	8	65	0	0	0	98.41	-0.298	1.0	2.9	0	0.0
"FL"	9	65	0	0	0	64.98	-0.211	1.0	15.3	0	0.0
"GA"	10	65	0	0	1	55.48	-0.206	1.0	31.1	0	0.0
"IA"	15	65	0	0	0	67.81	-0.214	1.0	7.8	0	0.0
"ID"	12	65	0	0	1	58.22	-0.198	1.0	33.6	0	0.0
"IL"	13	65	0	0	0	86.6	-0.179	0.0	8.1	0	0.0
"IN"	14	65	0	0	0	72.67	-0.246	1.0	10.3	0	0.0
"KS"	16	65	0	0	0	66.75	-0.24	1.0	10.5	0	0.0
"KY"	17	65	0	0	1	52.29	-0.254	1.0	31.4	0	0.0
"LA"	18	65	0	0	0	53.33	-0.25	1.0	18.4	0	0.0
"MA"	21	65	0	0	0	85.66	-0.317	0.0	0.8	1	0.1667
"MD"	20	65	0	0	1	81.78	-0.31	1.0	4.9	0	0.0
"ME"	19	65	0	0	1	61.32	-0.144	0.0	2.3	1	0.5
"MI"	22	65	0	0	0	78.22	-0.235	0.0	7.5	0	0.0
"MN"	23	65	0	0	1	67.81	-0.256		9.3	0	0.0
"MO"	25	65	0	0	0	73.36	-0.175	1.0	20.4	0	0.0
"MS"	24	65	0	0	1	41.33	-0.3	1.0	34.4	0	0.0
"MT"	26	65	0	0	0	64.59	-0.136	0.0	7.9	0	0.0
"NC"	33	65	0	0	0	54.63	-0.257	1.0	28.5	0	0.0
"ND"	34	65	0	0	0	60.57	-0.167	0.0	6.9	0	0.0
"NE"	27	65	0	0	0	89.28	-0.176		10.9	0	0.0
"NJ"	30	65	0	1	0	85.88	-0.18	0.0	1.1	0	0.0
"NM"	31	65	0	0	0	58.42	-0.199	1.0	16.4	0	0.0
"NV"	28	65	0	0	1	119.7	-0.206	0.0	13.4	0	0.0
"NY"	32	65	0	0	1	90.58	-0.356	0.0	1.4	0	0.0
"OH"	35	65	0	0	1	75.54	-0.193	0.0	5.7	0	0.0
"OK"	36	65	0	0	1	59.69	-0.235	0.0	33.2	0	0.0
"OR"	37	65	0	0	1	73.97	-0.201	0.0	10.0	0	0.0
"PA"	38	65	0	0	1	74.12	-0.199	0.0	2.0	0	0.0
"RI"	39	65	0	0	0	74.38	-0.195	0.0	0.7	0	0.0
"SC"	40	65	0	0	1	47.86	-0.195	1.0	32.2	0	0.0
"SD"	41	65	0	0	0	54.89	-0.105	1.0	9.9	0	0.0
"TN"	42	65	0	0	1	70.09	-0.213	1.0	31.9	0	0.0
"TX"	43	65	0	0	0	82.61	-0.159	1.0	24.4	0	0.0
"UT"	44	65	0	0	0	62.64	-0.231	1.0	75.9	0	0.0
"VA"	46	65	0	1	0	64.18	-0.21	1.0	16.8	0	0.0
"VT"	45	65	0	0	0	62.17	-0.103	0.0	1.0	1	0.3333
"WA"	47	65	0	0	0	75.71	-0.237	0.0	7.0	0	0.0
"WI"	49	65	0	0	0	71.37	-0.323	0.0	11.8	0	0.0
"WV"	48	65	0	0	0	55.42	-0.166	1.0	6.8	0	0.0
"WY"	50	65	0	0	1	70.85	-0.17	0.0	15.3	0	0.0
"AL"	1	66	0	1	0	53.54	-0.233	1.0	34.0	0	0.0
"AR"	4	66	0	1	0	51.64	-0.154	1.0	29.6	0	0.0
"AZ"	3	66	0	1	0	66.48	-0.221	1.0	14.5	0	0.0
"CA"	5	66	0	1	0	91.4	-0.339	1.0	6.2	0	0.0
"CO"	6	66	0	1	0	76.1	-0.258	0.0	8.9	0	0.0
"CT"	7	66	0	1	0	95.14	-0.165	0.0	1.3	0	0.0
"DE"	8	66	0	0	1	94.76	-0.277	1.0	2.9	0	0.0
"FL"	9	66	0	1	0	67.98	-0.243	1.0	15.3	0	0.0
"GA"	10	66	0	1	0	60.49	-0.211	1.0	31.1	0	0.0
"IA"	15	66	0	1	0	74.99	-0.226	1.0	7.8	0	0.0
"ID"	12	66	0	1	0	67.09	-0.152	1.0	33.6	0	0.0
"IL"	13	66	0	0	1	92.03	-0.229	0.0	8.1	0	0.0
"IN"	14	66	0	0	1	79.82	-0.242	1.0	10.3	0	0.0
"KS"	16	66	0	1	0	74.02	-0.195	1.0	10.5	0	0.0
"KY"	17	66	0	0	1	57.33	-0.206	1.0	31.4	0	0.0
"LA"	18	66	0	0	1	58.08	-0.22	1.0	18.4	0	0.0
"MA"	21	66	0	1	0	85.54	-0.31	0.0	0.8	1	0.1667
"MD"	20	66	0	1	0	84.24	-0.3	1.0	4.9	0	0.0
"ME"	19	66	0	1	0	63.93	-0.095	0.0	2.3	1	0.5
"MI"	22	66	0	1	0	84.37	-0.22	0.0	7.5	0	0.0
"MN"	23	66	0	1	0	74.86	-0.271		9.3	0	0.0
"MO"	25	66	0	0	1	74.67	-0.144	1.0	20.4	0	0.0
"MS"	24	66	0	0	1	44.86	-0.254	1.0	34.4	0	0.0
"MT"	26	66	0	0	1	68.49	-0.15	0.0	7.9	0	0.0
"NC"	33	66	0	0	1	57.24	-0.233	1.0	28.5	0	0.0
"ND"	34	66	0	0	1	64.03	-0.101	0.0	6.9	0	0.0
"NE"	27	66	0	1	0	95.94	-0.182		10.9	0	0.0
"NJ"	30	66	0	0	0	90.64	-0.166	1.0	1.1	0	0.0
"NM"	31	66	0	1	0	61.21	-0.186	1.0	16.4	0	0.0
"NV"	28	66	0	1	0	121.0	-0.189	0.0	13.4	0	0.0
